,0
0,35.71
1,39.281
2,35.71
3,42.852
4,39.281
5,28.568
6,39.281
7,39.281
8,32.139
9,35.71
10,42.852
11,35.71
12,39.281
13,32.139
14,28.568
15,39.281
16,32.139
17,39.281
18,32.139
19,35.71
20,39.281
21,39.281
22,39.281
23,32.139
24,42.852
25,32.139
26,39.281
27,39.281
28,32.139
29,35.71
30,28.568
31,42.852
32,35.71
33,28.568
34,39.281
35,35.71
36,35.71
37,42.852
38,42.852
39,28.568
40,28.568
41,28.568
42,42.852
43,32.139
44,32.139
45,42.852
46,35.71
47,35.71
48,42.852
49,42.852
50,35.71
51,28.568
52,28.568
53,42.852
54,35.71
55,35.71
56,42.852
57,32.139
58,32.139
59,32.139
60,42.852
61,39.281
62,42.852
63,35.71
64,39.281
65,39.281
66,32.139
67,35.71
68,35.71
69,39.281
70,39.281
71,39.281
72,32.139
73,39.281
74,35.71
75,28.568
76,39.281
77,35.71
78,42.852
79,39.281
80,32.139
81,39.281
82,39.281
83,42.852
84,35.71
85,28.568
86,35.71
87,42.852
88,42.852
89,28.568
90,35.71
91,35.71
92,28.568
93,28.568
94,35.71
95,32.139
96,28.568
97,32.139
98,42.852
99,32.139
100,32.139
101,32.139
102,28.568
103,35.71
104,32.139
105,32.139
106,42.852
107,42.852
108,32.139
109,28.568
110,28.568
111,35.71
112,32.139
113,35.71
114,35.71
115,28.568
116,42.852
117,28.568
118,42.852
119,42.852
120,39.281
121,35.71
122,28.568
123,39.281
124,32.139
125,35.71
126,32.139
127,28.568
128,42.852
129,32.139
130,32.139
131,28.568
132,28.568
133,35.71
134,32.139
135,39.281
136,42.852
137,39.281
138,39.281
139,32.139
140,35.71
141,42.852
142,42.852
143,32.139
144,28.568
145,42.852
146,35.71
147,32.139
148,35.71
149,32.139
150,32.139
151,32.139
152,32.139
153,39.281
154,35.71
155,32.139
156,32.139
157,39.281
158,35.71
159,35.71
160,32.139
161,35.71
162,39.281
163,28.568
164,42.852
165,39.281
166,28.568
167,35.71
168,28.568
169,42.852
170,28.568
171,35.71
172,39.281
173,42.852
174,42.852
175,42.852
176,35.71
177,42.852
178,42.852
179,39.281
180,39.281
181,28.568
182,35.71
183,28.568
184,35.71
185,39.281
186,35.71
187,35.71
188,28.568
189,39.281
190,39.281
191,42.852
192,39.281
193,39.281
194,42.852
195,28.568
196,42.852
197,28.568
198,42.852
199,35.71
200,28.568
201,32.139
202,28.568
203,42.852
204,39.281
205,35.71
206,42.852
207,28.568
208,35.71
209,35.71
210,39.281
211,28.568
212,32.139
213,32.139
214,39.281
215,39.281
216,42.852
217,42.852
218,39.281
219,35.71
220,35.71
221,42.852
222,32.139
223,35.71
224,32.139
225,28.568
226,32.139
227,32.139
228,42.852
229,28.568
230,28.568
231,35.71
232,35.71
233,42.852
234,28.568
235,32.139
236,42.852
237,28.568
238,39.281
239,39.281
240,42.852
241,39.281
242,39.281
243,39.281
244,39.281
245,28.568
246,35.71
247,35.71
248,28.568
249,28.568
250,28.568
251,35.71
252,32.139
253,28.568
254,28.568
255,28.568
256,39.281
257,39.281
258,28.568
259,32.139
260,35.71
261,32.139
262,39.281
263,35.71
264,28.568
265,39.281
266,32.139
267,35.71
268,39.281
269,28.568
270,35.71
271,42.852
272,42.852
273,42.852
274,39.281
275,39.281
276,39.281
277,32.139
278,39.281
279,35.71
280,42.852
281,39.281
282,28.568
283,42.852
284,32.139
285,42.852
286,32.139
287,32.139
288,42.852
289,39.281
290,32.139
291,28.568
292,28.568
293,32.139
294,39.281
295,42.852
296,42.852
297,42.852
298,35.71
299,35.71
300,39.281
301,39.281
302,39.281
303,35.71
304,39.281
305,32.139
306,39.281
307,28.568
308,42.852
309,42.852
310,32.139
311,28.568
312,39.281
313,42.852
314,42.852
315,42.852
316,35.71
317,35.71
318,28.568
319,42.852
320,39.281
321,32.139
322,35.71
323,28.568
324,28.568
325,35.71
326,35.71
327,39.281
328,35.71
329,28.568
330,35.71
331,39.281
332,39.281
333,35.71
334,28.568
335,39.281
336,28.568
337,39.281
338,42.852
339,39.281
340,39.281
341,42.852
342,28.568
343,32.139
344,35.71
345,42.852
346,28.568
347,32.139
348,32.139
349,28.568
350,28.568
351,42.852
352,39.281
353,35.71
354,35.71
355,35.71
356,42.852
357,35.71
358,42.852
359,35.71
360,35.71
361,35.71
362,35.71
363,35.71
364,35.71
365,32.139
366,39.281
367,42.852
368,32.139
369,39.281
370,28.568
371,28.568
372,42.852
373,42.852
374,32.139
375,35.71
376,35.71
377,42.852
378,39.281
379,28.568
380,42.852
381,28.568
382,39.281
383,32.139
384,35.71
385,35.71
386,39.281
387,35.71
388,39.281
389,39.281
390,32.139
391,39.281
392,28.568
393,39.281
394,42.852
395,39.281
396,39.281
397,42.852
398,42.852
399,35.71
400,42.852
401,39.281
402,42.852
403,35.71
404,35.71
405,32.139
406,28.568
407,42.852
408,32.139
409,42.852
410,42.852
411,39.281
412,32.139
413,39.281
414,28.568
415,28.568
416,32.139
417,35.71
418,42.852
419,35.71
420,42.852
421,35.71
422,32.139
423,32.139
424,42.852
425,28.568
426,28.568
427,35.71
428,39.281
429,32.139
430,42.852
431,28.568
432,35.71
433,42.852
434,39.281
435,39.281
436,32.139
437,39.281
438,32.139
439,32.139
440,39.281
441,42.852
442,32.139
443,32.139
444,39.281
445,42.852
446,28.568
447,35.71
448,39.281
449,32.139
450,35.71
451,35.71
452,32.139
453,35.71
454,32.139
455,35.71
456,42.852
457,35.71
458,42.852
459,39.281
460,42.852
461,28.568
462,39.281
463,35.71
464,32.139
465,32.139
466,32.139
467,32.139
468,35.71
469,28.568
470,32.139
471,32.139
472,35.71
473,35.71
474,42.852
475,42.852
476,35.71
477,32.139
478,32.139
479,35.71
480,35.71
481,42.852
482,42.852
483,39.281
484,28.568
485,32.139
486,32.139
487,39.281
488,42.852
489,42.852
490,42.852
491,32.139
492,35.71
493,39.281
494,28.568
495,42.852
496,32.139
497,35.71
498,39.281
499,39.281
500,39.281
501,32.139
502,32.139
503,42.852
504,28.568
505,42.852
506,32.139
507,32.139
508,32.139
509,28.568
510,32.139
511,28.568
512,32.139
513,28.568
514,35.71
515,35.71
516,32.139
517,28.568
518,28.568
519,32.139
520,39.281
521,35.71
522,28.568
523,42.852
524,32.139
525,28.568
526,28.568
527,35.71
528,28.568
529,39.281
530,39.281
531,28.568
532,32.139
533,32.139
534,28.568
535,32.139
536,32.139
537,42.852
538,35.71
539,32.139
540,28.568
541,32.139
542,28.568
543,39.281
544,42.852
545,39.281
546,39.281
547,42.852
548,39.281
549,39.281
550,39.281
551,35.71
552,28.568
553,39.281
554,28.568
555,28.568
556,32.139
557,42.852
558,35.71
559,39.281
560,39.281
561,35.71
562,42.852
563,28.568
564,28.568
565,35.71
566,42.852
567,28.568
568,32.139
569,35.71
570,32.139
571,35.71
572,32.139
573,42.852
574,42.852
575,35.71
576,35.71
577,42.852
578,32.139
579,42.852
580,42.852
581,35.71
582,35.71
583,42.852
584,39.281
585,42.852
586,32.139
587,28.568
588,39.281
589,35.71
590,42.852
591,42.852
592,39.281
593,28.568
594,42.852
595,28.568
596,32.139
597,42.852
598,28.568
599,39.281
600,39.281
601,32.139
602,32.139
603,39.281
604,42.852
605,28.568
606,42.852
607,32.139
608,42.852
609,35.71
610,42.852
611,35.71
612,42.852
613,28.568
614,35.71
615,39.281
616,39.281
617,28.568
618,35.71
619,39.281
620,39.281
621,35.71
622,28.568
623,39.281
624,39.281
625,42.852
626,32.139
627,35.71
628,39.281
629,42.852
630,32.139
631,35.71
632,42.852
633,35.71
634,39.281
635,32.139
636,28.568
637,39.281
638,32.139
639,42.852
640,39.281
641,39.281
642,32.139
643,39.281
644,42.852
645,28.568
646,28.568
647,39.281
648,42.852
649,28.568
650,39.281
651,28.568
652,28.568
653,35.71
654,39.281
655,39.281
656,42.852
657,32.139
658,42.852
659,42.852
660,39.281
661,39.281
662,35.71
663,35.71
664,32.139
665,42.852
666,28.568
667,35.71
668,39.281
669,32.139
670,28.568
671,39.281
672,35.71
673,32.139
674,28.568
675,39.281
676,28.568
677,42.852
678,32.139
679,35.71
680,35.71
681,39.281
682,28.568
683,35.71
684,42.852
685,42.852
686,42.852
687,39.281
688,42.852
689,28.568
690,42.852
691,39.281
692,32.139
693,35.71
694,32.139
695,32.139
696,28.568
697,28.568
698,42.852
699,32.139
700,28.568
701,35.71
702,35.71
703,42.852
704,35.71
705,35.71
706,39.281
707,39.281
708,28.568
709,35.71
710,28.568
711,42.852
712,39.281
713,28.568
714,32.139
715,39.281
716,42.852
717,32.139
718,35.71
719,32.139
720,39.281
721,32.139
722,28.568
723,39.281
724,32.139
725,42.852
726,42.852
727,35.71
728,35.71
729,28.568
730,28.568
731,28.568
732,35.71
733,42.852
734,32.139
735,32.139
736,32.139
737,32.139
738,35.71
739,42.852
740,28.568
741,32.139
742,39.281
743,32.139
744,42.852
745,28.568
746,32.139
747,35.71
748,32.139
749,42.852
750,28.568
751,28.568
752,28.568
753,39.281
754,35.71
755,28.568
756,32.139
757,28.568
758,39.281
759,42.852
760,42.852
761,42.852
762,32.139
763,35.71
764,39.281
765,42.852
766,32.139
767,35.71
768,42.852
769,32.139
770,32.139
771,28.568
772,39.281
773,32.139
774,35.71
775,35.71
776,28.568
777,28.568
778,42.852
779,32.139
780,32.139
781,35.71
782,35.71
783,39.281
784,39.281
785,39.281
786,42.852
787,35.71
788,39.281
789,28.568
790,39.281
